$三一重工(SH600031)$1717谐音，要起要起。新得一波行情要起来了。,03-17
$三一重工(SH600031)$基建涨，三一加油,03-15
快成01重工了。。。。,03-15
$三一重工(SH600031)$没骨气！,03-15
$三一重工(SH600031)$我要找志在必得，有人知道他在哪里？,03-15
买啥啥跌，难道庄家就看见我了,03-15
今天大跳水,03-15
越亏越惨！何时回本？,03-15
跌破发行价毫无悬念[坏笑],03-15
$三一重工(SH600031)$只要你不是两融不赢不出手，必赢，当下比买房买车风,03-15
我给过两个月再来看看。[大笑]现在买还不是时候。,03-15
被人遗忘的票,03-15
你就是下一个长虹,03-15
三一重工预期利润非常差，一季度的利润至少下跌40%以上，绝大部分机构及主力都不看,03-15
$三一重工(SH600031)$我一直在看，在想能不能抄底,03-15
感觉今天很强势，没有创新低,03-15
只要是31不退市   支撑价应该在5.31,03-15
$三一重工(SH600031)$只要三一不退市，我是不会割肉的,03-15
唉，一三重工,03-15
$三一重工(SH600031)$能不能跌倒三块一，我满仓进,03-15
公司还是那个公司，股价已经惨不忍睹,03-15
